publish_date,headline_text
20080101,2007 deadliest year yet for us troops in iraq
20080101,372 french cars torched over calm nye
20080101,550 palestinians stranded in egypt to return to
20080101,adelaide man charged with knife assault
20080101,agisted cattle didnt cause anthrax outbreak owner
20080101,alleged haditha ringleader escapes murder charges
20080101,artist buren mulls demolition of paris sculpture
20080101,asbestos drug listed on pbs
20080101,asia celebrates beginning of 2008
20080101,at least 120 killed in kenya protests red cross
20080101,at least 19 dead in egypt bus crash
20080101,aussies must beat india to reach hopman final
20080101,aussies need doubles win at hopman cup
20080101,aust finalises test line up
20080101,australia name unchanged team for second test
20080101,australian charged with murder in bulgaria
20080101,australians celebrate the beginning of 2008
20080101,australias hopman cup hopes fade
20080101,australia v india first test a coachs perspective
20080101,australia welcomes 2008
20080101,australia welcomes in 2008
20080101,baghdad welcomes 2008 with fireworks gunfire
20080101,bbc radio host greening dies
20080101,bhutto had proof of poll rigging plan
20080101,blaze continues to block highway in wa
20080101,bom celebrates 100 years
20080101,calls for haneef inquiry grow louder
20080101,calls to upgrade schools facilities
20080101,campaign push before iowa poll
20080101,castro sends cubans a new year message
20080101,cats fun victorious at perth cup
20080101,chavez to grant coup amnesty
20080101,children hit injured by reversing car
20080101,climbers killed in japanese avalanche
20080101,closer am1
20080101,closernew pm
20080101,cyprus malta to begin using euro
20080101,dead child found on bribie island
20080101,death toll from bhutto unrest rises to 58 official
20080101,death toll mounts in kenya riots
20080101,documents show frasers fears on us alliance
20080101,dogs escape during new year fireworks
20080101,eight dead in attack on indian paramilitary camp
20080101,electricity privatisation behind vic power price
20080101,expert predicts daring foreign policy under rudd
20080101,falls festival wraps up at marion bay
20080101,financial stress behind pet surrenders rspca
20080101,firefighters battle to contain deadly wa blaze
20080101,fords would be assassin freed
20080101,four rescued off adelaide coast
20080101,fourth leg of george bass classic in doubt
20080101,france bans smoking in cafes bars
20080101,frasers us foreign policy
20080101,gales to continue battering qld coast
20080101,govt to review mri referral scheme
20080101,grant urges ballack to take extra responsibility
20080101,gst hike could fight inflation nab
20080101,guccione advances at memorial drive
20080101,heavy surf closes northern nsw beaches
20080101,hewitt through to adelaides second round
20080101,hicks not skilled enough to say sorry
20080101,hickss full story
20080101,hicks should apologise rann
20080101,hogg ready for improved indian attack
20080101,holiday road toll hits 36
20080101,hostage deal impossible for now farc
20080101,impound cars to curb road toll oppn
20080101,india fight back all in the mind says kumble
20080101,india keeps hopman cup hopes alive
20080101,indian pm promises aust widow religious freedom
20080101,internet censorship
20080101,ive nothing to prove in england hodgson
20080101,japan puts climate change at top of g8 agenda
20080101,jessica simpson plans country album
20080101,kenya under pressure as death toll rises
20080101,kewells focus firmly on the present
20080101,kidney disease on the rise
20080101,legal reform
20080101,long lost opera premieres in melbourne
20080101,man arrested after girlfriend run over
20080101,man charged with rape murder of girl on bribie is
20080101,man killed after being trapped in unit fire
20080101,man questioned over childs death on bribie is
20080101,market set for roller coaster 08 analyst
20080101,melbourne survives second day of searing heat
20080101,menzies helped block casino to prevent a sort of
20080101,millions celebrate new year worldwide
20080101,millions welcome 2008
20080101,millions welcome new year
20080101,missing hiker found in bushland
20080101,missing hiker may have done a bunk police
